,EC-NUMBER,SUBSTRATES,PRODUCTS,GIBBS
8214,EC-3.1.4.39,"['CPD-563', 'WATER']","['1-Alkenyl-phosphoglycerol', 'CHOLINE', 'PROTON']", 137.30916000000002
8215,EC-3.1.4.4,"['CPD-189', 'WATER']","['CPD-1119', 'PROTON', 'CMP']",118.0152
8216,EC-3.1.4.40,"['WATER', 'Sphingomyelins']","['CPD-502', 'CHOLINE', 'PROTON']",137.30919
8217,EC-3.1.4.41,"['CPD-540', 'WATER']","['PROTON', 'GLYCEROL-3P']",-112.11125
8218,EC-3.1.4.42,"['CPD-541', 'WATER']","['PROTON', 'D-MYO-INOSITOL-1-MONOPHOSPHATE', 'GLYCEROL']",1.6887511999999998
8219,EC-3.1.4.43,"['CPD-1121', 'WATER']","['D-MYO-INOSITOL-1-MONOPHOSPHATE', 'PROTON']",-106.31123000000001
8220,EC-3.1.4.44,"['LYSOSOMAL-ENZYME-N-ETCETERA-MANNOSE', 'WATER']","['GLYCOPROTEIN-PHOSPHO-D-MANNOSE', 'N-ACETYL-D-GLUCOSAMINE', 'PROTON']",148.2041
8221,EC-3.1.4.45,"['WATER', 'Glycerophosphodiesters']","['Alcohols', 'GLYCEROL-3P', 'PROTON']",66.03546
8222,EC-3.1.4.46,"['CPD0-2030', 'WATER']","['GLYCEROL-3P', 'SER', 'PROTON']",6.45874
8223,EC-3.1.4.46,"['GLYCEROPHOSPHOGLYCEROL', 'WATER']","['GLYCEROL', 'GLYCEROL-3P', 'PROTON']", 1.6887206999999997
8224,EC-3.1.4.46,"['L-1-GLYCEROPHOSPHORYLETHANOL-AMINE', 'WATER']","['GLYCEROL-3P', 'ETHANOL-AMINE', 'PROTON']", 3.7846832000000004
8225,EC-3.1.4.48,"['CPD-171', 'WATER']","['DOLICHOLP', 'MANNOSE', 'PROTON']",6.728515600000001
8226,EC-3.1.4.49,"['CPD-1113', 'WATER']","['L-PHOSPHATIDATE', 'CPD1G-0', 'PROTON']",240.02042000000003
8227,EC-3.1.4.50,"['CPD-8559', 'WATER']","['PROTON', 'GLC-1-P', 'b-D-mannosyl-R']",107.11993400000001
8228,EC-3.1.4.51,"['C-DI-GMP', 'WATER']","['PROTON', 'L-DI-GMP']",3.784607
8229,EC-3.1.4.52,"['CAMP', 'WATER']","['PROTON', 'AMP']",-62.66223000000001
8230,EC-3.1.4.53,"['N-Acylphosphatidylethanolamines', 'WATER']","['N-Acylethanolamines', 'L-PHOSPHATIDATE', 'PROTON']",-5.8623962
8231,EC-3.1.4.54,"['CPD0-2463', 'WATER']","['PROTON', 'RIBOSE-15-BISPHOSPHATE']",-112.03946
8232,EC-3.1.4.55,"['CPD-10812', 'WATER']","['PROTON', 'DIHYDRONEOPTERIN-P']",-112.11125
8233,EC-3.1.4.56,"['CPD-10812', 'WATER']","['PROTON', 'CPD-13344']",-112.11125
8234,EC-3.1.4.57,"['CPD0-2463', 'WATER']","['CPD-15894', 'PROTON']",-112.03946
